Title,Stock_Status,Price,Dealer,Rating,Num_review
2022 Chevrolet Colorado Work Truck,Used,"$26,998",CarMax Palm Desert,0,(2 reviews)
2023 Mercedes-Benz EQS 450+,Used,"$59,998",CarMax Greensboro,4.9,"(1,023 reviews)"
2022 Kia Niro Plug-In Hybrid EX Premium,Used,"$27,998",CarMax Pharr,4.3,"(3,053 reviews)"
2021 Chevrolet Trailblazer LS,Used,"$19,998",Countryside Mitsubishi,2.5,(14 reviews)
2008 Mitsubishi Lancer GTS,Used,"$14,485",Napleton Ford of Oak Lawn,0,(1 review)
2022 Chevrolet Trailblazer LT,Used,"$23,222",CarMax Hillside (Eisenhower Expy),0,(4 reviews)
2023 Toyota GR86,Used,"$32,998",CarMax Wilmington,0,(13 reviews)
2023 Chevrolet Silverado 3500 LTZ,Used,"$61,998",CarMax Gainesville,0,(1 review)
2018 Lexus NX 300,Used,"$25,998",CarMax Colorado Springs,0,(351 reviews)
2021 Lexus RX 350 F-SPORT Handling,Used,"$44,998",CarMax Wilmington,0,(351 reviews)
2019 RAM 2500 Bighorn,Used,"$34,998",KNB Motors Inc,0,(13 reviews)
2017 Audi Q5 3.0T Premium Plus,Used,"$20,998",KNB Motors Inc,0,(1 review)
2013 Chevrolet Traverse 1LT,Used,"$11,998",Continental Ferrari,4.8,"(3,726 reviews)"
2021 Ferrari Portofino Base,Ferrari Certified,"$234,999",Baha Auto Group,4.8,(185 reviews)
2020 BMW M8,Used,"$52,995",Golf Mill Ford,4.3,"(1,194 reviews)"
2017 Lexus IS 200t Base,Used,"$25,998",Champion Motorsports,4.3,(112 reviews)
2015 Jeep Renegade Trailhawk,Used,"$15,850",Al Piemonte Buick GMC,4.9,"(2,197 reviews)"
2015 Lexus IS 250 Crafted Line,Used,"$18,350",Your Choice Auto Sales of Posen,5,(9 reviews)
2008 Saab 9-3 Aero,Used,"$5,999",INFINITI of Clarendon Hills,4.8,"(3,855 reviews)"
2019 Mercedes-Benz AMG S 63,Used,"$73,998",carneed,4.3,(112 reviews)
2010 Lexus LS 460 Base,Used,"$14,995",Jidd Motors Mitsubishi,3.8,(204 reviews)
2019 Honda Civic Si Base,Used,"$23,885",Your Choice Auto Sales of Posen,5,(9 reviews)
2017 GMC Terrain SLT,Used,"$11,499",Lucky Motors Megastore of Villa Park,4.7,"(1,728 reviews)"
2014 Porsche Cayenne Hybrid S,Used,"$17,980",carneed,3.4,(441 reviews)
2014 Land Rover LR4 Base,Used,"$16,495",Audi Westmont,4.5,(73 reviews)
2024 Audi S3 Premium Plus TFSI quattro S tronic,New,"$59,105",Fields BMW of Northfield,4.8,"(1,022 reviews)"
2017 BMW 330 Gran Turismo xDrive,Used,"$17,990",Bose Motors,4,(162 reviews)
2009 Acura TL 3.5,Used,"$7,995",Napleton Aston Martin Maserati,2.9,(97 reviews)
2023 Porsche 718 Spyder Manual,Used,"$147,177",Ogden Lincoln Of Westmont,4.8,"(1,022 reviews)"
1990 Ferrari Mondial t Convertible,Used,"$89,933",Auto Gallery Chicago,4.8,"(1,022 reviews)"
2003 Aston Martin V12 Vanquish Base,Used,"$63,990",Napleton Aston Martin Maserati,0,(53 reviews)
2006 Aston Martin V12 Vanquish S,Used,"$125,800",Napleton Aston Martin Maserati,4.8,"(1,022 reviews)"
2024 Aston Martin DBX 707,New,"$274,886",Zone Motors,3.9,(22 reviews)
2010 Honda Accord Crosstour EX-L,Used,"$9,950",Napleton Aston Martin Maserati,1.3,(39 reviews)
2024 Maserati GranCabrio Trofeo,New,"$225,575",Top Gear Motors,0,(285 reviews)
2009 Mitsubishi Galant ES,Used,"$3,000",Rt. 34 Motorsports,4.4,(50 reviews)
2011 Honda Accord Crosstour EX-L,Used,"$7,945","Napleton Cadillac of Northbrook, Rolls-Royce Motor Cars Northbrook, Bentley Northbrook",4.8,"(3,915 reviews)"
2000 Chevrolet Cavalier Base,Used,"$4,888",Driven Auto of Oak Forest,4.8,"(3,915 reviews)"
2020 BMW M8,Used,"$69,660",Zeigler Nissan of Orland Park,4,(83 reviews)
2016 Lexus IS 200t Base,Used,"$14,980",Zeigler Nissan of Orland Park,4.8,"(3,915 reviews)"
2024 Nissan Murano SV Intelligent AWD,New,"$38,997",Auto's of Chicago,4.8,"(3,915 reviews)"
2024 Nissan Murano Platinum Intelligent AWD,New,"$45,997",Zeigler Nissan of Orland Park,4.8,(272 reviews)
2020 INFINITI Q60 3.0T LUXE,Used,"$25,855",Zeigler Nissan of Orland Park,4.8,"(3,915 reviews)"
2024 Nissan Murano SV Intelligent AWD,New,"$40,297","International Autos Jaguar, Land Rover, Subaru, Volvo Cars",4.5,"(1,447 reviews)"
2024 Nissan Murano SL Intelligent AWD,New,"$40,349",Zeigler Nissan of Orland Park,4.2,"(2,878 reviews)"
2018 Cadillac XT5 Luxury,Used,"$20,800",Bill Kay Buick GMC,4.5,"(1,447 reviews)"
2024 Nissan Murano SV Intelligent AWD,New,"$38,997",Joe Rizza Ford Lincoln,4,(83 reviews)
2019 Buick Encore Preferred,Used,"$13,595",Bill Kay Buick GMC,0,(6 reviews)
2021 Jeep Gladiator Overland,Used,"$109,990",Auto's of Chicago,3.7,(5 reviews)
2016 Buick Encore Premium,Used,"$12,595",EMH Motors,4.7,(489 reviews)
2016 Lexus IS 200t Base,Used,"$18,855",London Motors Chicago,5,(86 reviews)
2006 Pontiac Vibe Base,Used,"$5,500",Chevrolet of Homewood,4.5,(231 reviews)
1992 GMC Jimmy Typhoon,Used,"$30,995",D&M Motorsports,4.5,(993 reviews)
2021 Nissan Rogue Platinum,Used,"$25,605",Ford of Homewood,4.3,(79 reviews)
1983 Cadillac Fleetwood Limousine,Used,"$25,995",The Audi Exchange,0,(4 reviews)
2024 Ford Ranger XLT,New,"$43,085",Auto Showcase of Carol Stream,4.7,"(3,428 reviews)"
2023 Audi RS 5 2.9T,Used,"$70,287",Ace Motorworks,4.5,(993 reviews)
2022 Jeep Compass Latitude,Used,"$22,977",Tasca Chevrolet Wheeling,4.7,(172 reviews)
2003 Lamborghini Murcielago Coupe,Used,"$419,800",The Audi Exchange,4.6,(667 reviews)
2024 Chevrolet Blazer EV RS,New,"$54,595",The Porsche Exchange,4.8,(327 reviews)
2024 Audi S3 Premium Plus,New,"$58,800",Castle Volkswagen of Schaumburg,0,(1 review)
2023 Porsche 718 Boxster GTS 4.0,Porsche Certified,"$113,892",Diamond Motorworks,4.5,(692 reviews)
2021 INFINITI Q60 3.0t Red Sport 400,Used,"$36,990",Strada Motorsports,0,(8 reviews)
2017 Lamborghini Aventador LP700-4,Used,"$562,800",Bosak Honda,0,(0 reviews)
2024 Tesla Cybertruck All-Wheel Drive,Used,"$124,895",DriveTime of Highland,0,(1 review)
2022 Hyundai Kona N Base,Used,"$24,421",SAVAGE,0,(0 reviews)
2015 Chevrolet Equinox 1LT,Used,"$13,395",Auto Select,4.9,"(5,840 reviews)"
2018 Lamborghini Aventador S S,Used,"$449,000",SAVAGE,0,(1 review)
2010 Saab 9-3 2.0T,Used,"$4,495",Arlington Heights Buick GMC,0,(2 reviews)
2016 Lamborghini Aventador LP 700-4 Pirelli Edition,Used,"$599,000",Strada Motorsports,0,(1 review)
2020 Mercedes-Benz Sprinter 3500 High Roof,Used,"$34,775",Schaumburg Motor Cars,0,(8 reviews)
2016 Lamborghini Aventador LP750-4 Superveloce,Used,"$594,895",Auto Select,4.6,(727 reviews)
2008 Mazda Mazda5 Sport,Used,"$3,990",DriveTime of Highland,4.6,(727 reviews)
1993 Chrysler LeBaron LX,Used,"$2,995",Chicago Motor Cars,0,(105 reviews)
2019 Jeep Compass Latitude,Used,"$21,095",Chicago Motor Cars,4.6,(727 reviews)
2015 Lamborghini Aventador LP700-4,Used,"$359,800",Frankfort Auto Haus,4.6,(727 reviews)
2019 Mercedes-Benz AMG S 63 4MATIC,Used,"$129,800",Chicago Motor Cars,4,(50 reviews)
2017 GMC Sierra 2500 SLE,Used,"$37,950",Chicago Motor Cars,2.7,(508 reviews)
1995 Toyota Supra Turbo 6-Speed Manual! Bone STOCK! GORGEOUS Example! Collector Quality Car!,Used,"$119,800",Car City Inc,4.8,(560 reviews)
2008 Lamborghini Murcielago LP640,Used,"$319,800",Hyundai of Palatine,4,(50 reviews)
2000 BMW 323 323Ci Convertible,Used,"$7,990",BMW of Schererville,4.7,"(2,521 reviews)"
2015 Mitsubishi Lancer ES,Used,"$5,475",Car City Inc,4.7,"(1,028 reviews)"
2020 Land Rover Range Rover Velar SVAutobiography Dynamic Edition,Used,"$55,980",Chevrolet of Naperville,0,(6 reviews)
2015 Chevrolet Impala Limited LTZ,Used,"$13,890",Mercedes-Benz of Naperville,0,(6 reviews)
2011 Honda Accord Crosstour EX-L,Used,"$9,975",Lake Forest Sports Cars,0,(72 reviews)
2024 Mercedes-Benz AMG GT 55 C,Mercedes-Benz Certified,"$124,991",Lake Forest Sports Cars,3.6,(94 reviews)
2008 Ferrari 599 GTB Fiorano Base,Used,"$209,900",Gold Coast Motors,2.3,(56 reviews)
2017 Ferrari 488 Spider Base,Ferrari Certified,"$274,900",Silver Auto Sales Inc.,4.9,"(1,347 reviews)"
2017 Chevrolet SS *6-Speed Manual* *Only 4k Miles*,Used,"$59,900",Luxury Car Outlet,4,(654 reviews)
2014 Lincoln MKX Base,Used,"$14,891",The Autobarn Volkswagen of Countryside,4,(360 reviews)
2011 Porsche Cayenne Hybrid S,Used,"$16,495",Perillo BMW,4.6,"(1,271 reviews)"
2008 Mercedes-Benz E-Class E 63 AMG,Used,"$47,500",Honda of Downtown Chicago,0,(2 reviews)
2025 BMW M8 Competition,New,"$151,325",McGrath Lexus Chicago,4.8,"(1,358 reviews)"
2015 Lexus IS 250 Crafted Line,Used,"$18,200",CarMax Pharr,0,(0 reviews)
2021 Lexus RC 350 F Sport,Used,"$41,490",Mercedes-Benz of Chicago,4.7,"(1,282 reviews)"
2021 Volvo XC60 T5 Momentum,Used,"$19,998",High Quality Auto Group,0,(47 reviews)
2023 Mercedes-Benz AMG EQE 4MATIC,Mercedes-Benz Certified,"$77,941",Berman Nissan of Chicago,0,(0 reviews)
2019 Kia K900 Luxury,Used,"$28,995",Baha Auto Sales,4.2,(9 reviews)
2011 Mitsubishi Galant Base,Used,"$4,249",High Quality Auto Group,4.9,"(1,060 reviews)"
2018 Mercedes-Benz GLC 300 Base 4MATIC,Used,"$18,995",Chicago Auto Warehouse,4.9,"(1,060 reviews)"
2024 Tesla Cybertruck All-Wheel Drive,Used,"$116,995",The Autobarn Volvo Cars of Oak Park,2.8,(385 reviews)
1992 Toyota Supra 3dr Liftback Auto Turbo Sport Roof,Used,"$34,988",The Autobarn Volvo Cars of Oak Park,2.8,(385 reviews)
2019 Volvo XC90 Hybrid T8 Momentum,Used,"$37,891",Mike Anderson Chevrolet of Chicago,4.4,"(1,887 reviews)"
2024 Volvo V60 Recharge Plug-In Hybrid Polestar,New,"$73,450",Mike Anderson Chevrolet of Chicago,0,(0 reviews)
2024 Tesla Cybertruck All-Wheel Drive,Used,"$110,999",McGrath City Honda,0,(3 reviews)
2024 Tesla Cybertruck All-Wheel Drive,Used,"$104,207",Highend Motors,0,(9 reviews)
2008 INFINITI G35x Base,Used,"$7,592",CarMax Albany,0,(8 reviews)
2019 BMW X3 xDrive30i,Used,"$18,495",CarMax Tucson,0,(2 reviews)
2019 Mercedes-Benz AMG C 43,Used,"$26,998",CarMax Reno,0,(2 reviews)
2014 Mercedes-Benz M-Class,Used,"$25,998",CarMax Dayton,0,(6 reviews)
2022 Volkswagen Atlas Cross Sport SE,Used,"$21,998",CarMax Dayton,0,(9 reviews)
2015 Acura TLX,Used,"$20,998",CarMax Charlottesville,0,(2 reviews)
2021 Chevrolet Trailblazer LS,Used,"$44,998",CarMax Tucson,0,(4 reviews)
2019 Lexus UX 200,Used,"$27,998",CarMax Salisbury,4.9,"(1,347 reviews)"
2024 Lexus NX 250,Used,"$43,998",CarMax Warner Robins,4.6,"(4,982 reviews)"
2020 Toyota C-HR LE,Used,"$17,998",The Autobarn Volkswagen of Countryside,4.6,"(4,982 reviews)"
2021 Subaru Impreza Premium,Used,"$20,998",Advantage Chevrolet,4.6,"(4,982 reviews)"
2008 Mercedes-Benz E-Class E 63 AMG,Used,"$47,500",Advantage Chevrolet,4.6,"(3,601 reviews)"
2024 Chevrolet Blazer EV RS,New,"$44,996",Advantage Chevrolet,4.9,"(1,748 reviews)"
2024 Chevrolet Blazer EV RS,New,"$44,469",Old Orchard Nissan,4.6,"(4,982 reviews)"
2024 Chevrolet Blazer EV RS,New,"$43,969",Jack Phelan Chrysler Dodge Jeep RAM,4.9,"(1,347 reviews)"
2022 Audi e-tron S Prestige,Used,"$41,372",Advantage Chevrolet,4.9,"(1,748 reviews)"
2024 Jeep Grand Cherokee 4xe Base,New,"$52,315",The Autobarn Volkswagen of Countryside,4.9,"(2,950 reviews)"
2024 Chevrolet Blazer EV RS,New,"$42,998",Jack Phelan Chrysler Dodge Jeep RAM,4.8,(468 reviews)
2023 Honda Civic Type R Base,Used,"$48,500",Continental Toyota,4.8,(468 reviews)
2024 Jeep Grand Cherokee 4xe Base,New,"$46,795",Glenview Luxury Imports,4.8,(752 reviews)
2014 Toyota FJ Cruiser Base,Used,"$35,874",Glenview Luxury Imports,4.8,(752 reviews)
2024 Maserati GranCabrio TROFEO,New,Not Priced,Audi Morton Grove,4.7,"(1,562 reviews)"
2014 Hyundai Equus Signature,Used,"$12,309",Audi Morton Grove,2.1,(60 reviews)
2024 Audi S6 Prestige TFSI quattro Tiptronic,New,"$86,850",Jennings Chevy / VW,4.6,(793 reviews)
2024 Audi S6 Prestige TFSI quattro Tiptronic,New,"$92,020",S&M Auto Sales,4.7,"(1,562 reviews)"
2021 Audi Q3 45 S line Premium Plus,Used,"$30,888",McGrath Acura of Morton Grove,5,(11 reviews)
2024 Tesla Cybertruck,Used,"$104,988",Jennings Chevy / VW,4.3,(22 reviews)
2024 Chevrolet Trailblazer ACTIV,Used,"$27,968",Premier Auto Works Inc,4.9,"(3,878 reviews)"
2016 Volkswagen Golf SportWagen,Used,"$16,888",Pro Cars USA Inc,4.3,"(1,162 reviews)"
2003 Acura TL 3.2 Type S,Used,"$4,999",Grand Subaru,0,(5 reviews)
2010 Toyota FJ Cruiser Base,Used,"$18,989",Castle Chevrolet of Villa Park,4.3,"(1,194 reviews)"
1992 Volkswagen Corrado SLC,Used,"$11,000",Omni Auto Sales Inc.,4.4,"(1,391 reviews)"
2015 Subaru XV Crosstrek Hybrid Base,Used,"$18,945",Al Piemonte Buick GMC,4.5,(73 reviews)
2024 Chevrolet Blazer EV 2LT,New,"$39,695",Ed Napleton Acura Kia,4.9,"(2,197 reviews)"
2016 Jeep Cherokee Latitude,Used,"$10,495",Bose Motors,4.5,(73 reviews)
2021 Mazda CX-3 GT,Used,"$21,800",INFINITI of Clarendon Hills,5,(9 reviews)
2014 Subaru XV Crosstrek 2.0i Premium,Used,"$12,995",Bose Motors,3.8,(204 reviews)
2007 Lexus LS 460 L,Used,"$9,788",carneed,4.5,(363 reviews)
2019 INFINITI Q70L 3.7X LUXE,INFINITI Certified,"$28,863",Lucky Motors Megastore of Villa Park,4.8,"(1,022 reviews)"
2010 Lexus LS 460 L,Used,"$11,770",Highline Auto Sales,4.6,(146 reviews)
2018 BMW 640 Gran Turismo i xDrive,Used,"$23,995",Napleton Aston Martin Maserati,4.8,"(1,022 reviews)"
1989 Chevrolet Pickup Truck Base,Used,"$17,480",Ultimo Motors East,4.8,"(1,022 reviews)"
2024 Tesla Cybertruck AWD,Used,"$108,999",Napleton Aston Martin Maserati,4.6,(146 reviews)
2024 Tesla Cybertruck Base,Used,"$104,775",Napleton Aston Martin Maserati,3.9,(22 reviews)
2024 Aston Martin DBX 707,New,"$295,886",Ultimo Motors East,3.9,(22 reviews)
2023 Mercedes-Benz EQS 580 4MATIC,Used,"$79,800",Top Gear Motors,4.4,(651 reviews)
2024 Aston Martin DBX 707,New,"$275,886",Top Gear Motors,4.3,"(1,069 reviews)"
2024 Aston Martin DB12 Coupe,Used,"$329,800",Packey Webb Ford,4.4,(217 reviews)
2024 Tesla Cybertruck All-Wheel Drive,Used,"$111,800",Lombard Toyota,3.9,(53 reviews)
2008 Subaru Tribeca Limited 5-Passenger,Used,"$6,945",Star Motor Sales,4.4,(217 reviews)
2012 Lexus LS 460 Base,Used,"$8,945",Chicago Motors Direct,3.8,(86 reviews)
2016 Buick Cascada Premium,Used,"$22,800",Star Motor Sales,3.9,(53 reviews)
2022 BMW 530e 530e xDrive,Used,"$36,995",Auto House Motors,4.8,"(3,915 reviews)"
2014 Ford Escape Titanium,Used,"$12,982",Chicago Motors Direct,4.4,"(8,973 reviews)"
2002 Lexus RX 300 Base (A4),Used,"$4,975",Zeigler Nissan of Orland Park,4.7,(601 reviews)
2015 BMW M235 xDrive,Used,"$24,984",Family Hyundai,4.7,(601 reviews)
2008 INFINITI M35x Base,Used,"$6,490",International Kia,4,(83 reviews)
2024 Tesla Cybertruck Base,Used,"$129,800",International Kia,4.5,"(2,007 reviews)"
2024 Nissan Murano SV Intelligent AWD,New,"$39,497",Auto's of Chicago,4.5,"(2,007 reviews)"
2024 Hyundai Tucson Plug-In Hybrid Limited,Used,"$36,944",DuPage CDJR,3.5,(252 reviews)
2014 Subaru XV Crosstrek 2.0i Premium,Used,"$13,000",DuPage CDJR,3.5,(252 reviews)
2019 Chevrolet Equinox 1LT,Used,"$17,500",Glendale Nissan,4.5,(993 reviews)
2014 Toyota FJ Cruiser Base,Used,"$29,549",Glendale Nissan,4.7,(869 reviews)
2024 RAM ProMaster 3500 High Roof,New,"$47,749",The Audi Exchange,4.5,"(1,504 reviews)"
2024 RAM ProMaster 3500 High Roof,New,"$47,749",Highland Park Ford Lincoln,4.5,(16 reviews)
2024 Nissan Murano SV,New,"$40,287",BMW of Orland Park,0,(16 reviews)
2015 BMW i3 Base,Used,"$10,500",Gravity Autos Chicago,4.4,"(1,840 reviews)"
2024 Nissan Murano Platinum,New,"$47,186",CarMax Tinley Park,4,(441 reviews)
2024 Audi S3 Premium Plus,New,"$58,800",Zeigler Chevrolet,0,(0 reviews)
2009 MINI Cooper Base,Used,"$5,500",Blackdog Performance Cars,0,(1 review)
2013 MINI Convertible Cooper,Used,"$11,995",Webb Ford,4.4,"(3,359 reviews)"
2015 Subaru XV Crosstrek 2.0i Limited,Used,"$17,350",SAVAGE,4.5,"(2,302 reviews)"
2014 Audi S6 4.0T Prestige,Used,"$19,489",Blackdog Performance Cars,4.4,(393 reviews)
2017 Mercedes-Benz E-Class,Used,"$23,998",Auto Select,4.6,(727 reviews)
2019 Cadillac XT4 Sport,Used,"$25,853",Napleton's Arlington Heights Chrysler Dodge Jeep RAM,4.7,"(5,466 reviews)"
2020 Lotus Evora GT Base,Used,"$82,500",Arnie Bauer Buick GMC of Matteson,4.8,"(1,517 reviews)"
2022 GMC Terrain SLE,Used,"$22,200",Napleton's Schaumburg Subaru,4.7,"(5,466 reviews)"
1990 Mercedes-Benz 300GD,Used,"$36,000",Chicago Motor Cars,4.8,(560 reviews)
2010 Porsche Cayman S,Used,"$55,987",Audi Hoffman Estates,4.4,(233 reviews)
2014 Ford C-Max Hybrid SEL,Used,"$6,495",Team Toyota,2.3,(56 reviews)
2019 BMW 440 Gran Coupe i xDrive,Used,"$32,900",Audi Hoffman Estates,0,(72 reviews)
2024 Tesla Cybertruck Cyberbeast,Used,"$147,995",BMW of Schererville,4.8,(668 reviews)
2018 Jeep Compass Sport,Used,"$16,500",Napleton's Palatine Subaru,4.7,(993 reviews)
2014 Subaru XV Crosstrek 2.0i Premium,Used,"$15,384",Luxury Car Outlet,3.6,(94 reviews)
2019 McLaren 600LT Coupe,Used,"$219,800",Gold Coast Motors,4.9,"(1,347 reviews)"
2024 Audi S6 2.9T quattro Premium,New,"$93,215",Woody Buick GMC Naperville,4.9,(45 reviews)
2018 Honda Odyssey EX-L,Used,"$19,100",Audi Naperville,0,(58 reviews)
2024 Tesla Cybertruck Cyberbeast,Used,"$154,000",Silver Auto Sales Inc.,4.8,"(1,358 reviews)"
2024 Audi Q4 e-tron 50 Premium Plus,New,"$65,335",The Autobarn Volkswagen of Countryside,0,(2 reviews)
2022 BMW X3 M AWD,Used,"$61,580",Porsche Downtown Chicago,4.2,(9 reviews)
2017 Chevrolet Equinox 1LT,Used,"$15,795",Bentley Bugatti Lamborghini Maserati Rolls-Royce of Chicago,4.8,(603 reviews)
2012 Porsche Cayenne Hybrid S,Used,"$17,655",Mercedes-Benz of Chicago,4.9,"(1,060 reviews)"
1995 Volkswagen Eurovan *Winnebago RV* *Colorado Van* *Rust-Free*,Used,"$32,900",CarMax Dayton,3.3,(154 reviews)
2018 Dodge Durango GT,Used,"$21,000",Chicago Auto Warehouse,4.4,(87 reviews)
2024 Audi S3 Premium Plus TFSI quattro S tronic,New,"$60,515",Honda City Chicago,4.4,(207 reviews)
2013 Lincoln MKX Base,Used,"$7,495",The Autobarn Volvo Cars of Oak Park,4.8,(744 reviews)
2011 BMW 1 Series M Base,Used,"$73,500",North City Honda,0,(2 reviews)
2014 Porsche Cayman S,Used,"$52,900",Porsche Lincolnwood,0,(6 reviews)
2013 Rolls-Royce Phantom Coupe,Used,"$168,800",Mcgrath Evanston Subaru,0,(2 reviews)
2024 Mercedes-Benz EQB 300 4MATIC,New,"$64,210",Chicago Auto House,0,(1 review)
2020 Chrysler Voyager L,Used,"$27,998",Al Piemonte Ford,0,(6 reviews)
2015 Lexus CT 200h 5dr Sdn Hybrid,Used,"$11,591",CarMax Killeen,0,(0 reviews)
2025 Honda CR-V Hybrid Sport-L,New,"$40,200",CarMax Augusta,0,(8 reviews)
2013 Acura TL Technology,Used,"$14,990",CarMax Salisbury,0,(6 reviews)
2021 Honda Civic Type R Limited Edition,Used,"$48,824",CarMax Harrisonburg,0,(5 reviews)
2022 Porsche Taycan Cross Turismo 4,Porsche Certified,"$73,994",CarMax Charlottesville,4.2,(995 reviews)
2020 Volkswagen Tiguan 2.0T SEL,Used,"$20,591",CarMax Corpus Christi,0,(11 reviews)
2009 Toyota Matrix S,Used,"$6,288",CarMax Reno,4.9,"(1,347 reviews)"
2024 Ford Expedition XLT MAX,New,"$76,015",CarMax Charlottesville,4.9,"(1,854 reviews)"
2018 GMC Terrain Denali,Used,"$23,998",CarMax Chattanooga,4.8,(468 reviews)
2021 Cadillac XT6 Premium Luxury,Used,"$33,998",Napleton's Countryside Mazda,4.8,(468 reviews)
2020 Lincoln Aviator Reserve,Used,"$37,998",CarMax Oak Lawn,4.8,(752 reviews)
2021 Volkswagen Tiguan SE,Used,"$24,998",The Autobarn Volkswagen of Countryside,4.8,(468 reviews)
2022 Kia Sportage LX,Used,"$21,998",Gerald Honda of Countryside,4.1,(78 reviews)
2019 Honda Accord Touring,Used,"$27,998",Glenview Luxury Imports,4.2,(5 reviews)
2018 Toyota Yaris iA,Used,"$14,998",Glenview Luxury Imports,4.1,(78 reviews)
2021 Mazda CX-9 Signature,Used,"$26,998",Audi Morton Grove,0,(13 reviews)
2024 Chevrolet Trax 1RS,Used,"$33,998",Glenview Luxury Imports,4.4,"(1,300 reviews)"
2011 Mazda CX-7 i SV,Used,"$6,614",Motorcars Express,4.4,(79 reviews)
2021 Cadillac XT5 Premium Luxury,Used,"$28,998",CHICAGO AUTO SPORTS,4.3,"(1,162 reviews)"
2011 BMW 1 Series M Base,Used,"$73,500",Motorcars Express,4.9,(51 reviews)
2014 Cadillac SRX Performance Collection,Used,"$12,599",Continental Ferrari,3.5,(79 reviews)
2023 Aston Martin DB11 V12,Used,"$184,841",AutoNation Hyundai O'Hare,4.2,(273 reviews)
2016 Porsche Cayman Base,Used,"$40,998",My Choice Motors of Elmhurst,4.7,"(1,728 reviews)"
2016 Chevrolet SS 4dr Sdn,Used,"$44,999",Castle Chevrolet of Villa Park,5,(9 reviews)
2024 Aston Martin DB12 Base,New,"$315,386",Nexton Motors LLC,4.7,"(1,728 reviews)"
1989 Ford Crown Victoria LX,Used,"$8,591",Adam Auto Group,4.6,"(1,260 reviews)"
2011 BMW 1 Series M Base,Used,"$69,800",MINI of Glencoe North Shore,4.6,"(1,260 reviews)"
2013 Lexus LS 460 L,Used,"$25,791",Audi Westmont,4.6,"(1,260 reviews)"
2022 Ferrari Portofino Base,Used,"$284,999",carneed,5,(9 reviews)
2012 BMW 135 135i,Used,"$13,999",Audi Westmont,3.8,(204 reviews)
2010 MINI Cooper Base (M6),Used,"$9,299",Mercedes-Benz of Westmont,4.9,(876 reviews)
2024 Chevrolet Blazer EV RS,New,"$43,090",Mercedes-Benz of Westmont,4.2,(273 reviews)
2012 Volvo XC70 3.2,Used,"$7,995",Mercedes-Benz of Westmont,1.7,(96 reviews)
2015 BMW i3 Base w/Range Extender,Used,"$12,995",carneed,3.2,(86 reviews)
2020 BMW M8 AWD,Used,"$64,495",Lucky Motors Megastore of Villa Park,3.2,(86 reviews)
2022 MINI Convertible Cooper S,Used,"$28,995",Napleton Porsche of Westmont,5,(11 reviews)
2024 Audi Q4 e-tron Premium Plus,New,"$64,040",MINI of Glencoe North Shore,3.7,(55 reviews)
2017 MINI Convertible Cooper,Used,"$17,995",Coda Motors,3.7,(55 reviews)
2024 Audi Q4 e-tron Premium Plus,New,"$64,890",DriveTime of South Chicago,4,(162 reviews)
2024 Mercedes-Benz Sprinter 3500 High Roof,New,"$72,904",Ultimo Motors North Shore,0,(17 reviews)
2024 Mercedes-Benz EQS 450 4MATIC,New,"$124,965",Ultimo Motors North Shore,3.2,(86 reviews)
